numb,txn,address,annotations,currencies,types,methods
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xbe86f647b167567525ccaafcd6f881f1ee558216,,-,Generic,"unpause, Contract Creation, createVault, eligibilityManager, isLocked, assignFees, implementation, vault, setFactoryFees, setFeeDistributor, changeAdmin, pause, setEligibilityManager, setVaultFees, upgradeChildTo, upgradeTo, setFeeExclusion, feeDistributor, setZapContract, zapContract, excludedFromFees, getBaseStakeAmountForPlay, numVaults, setIsGuardian, disableVaultFees, transferOwnership, childImplementation"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0x0ef372b6a2f8bb030760261b858b6c50e92d1680,,-,Generic,"distribute, initializeVaultReceivers, Contract Creation"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0x3e135c3e981fae3383a5ae0d323860a34cfab893,,-,Generic,"withdraw, receiveRewards, transferOwnership, deposit, changeAdmin, Contract Creation, upgradeTo, childImplementation"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xc90b47731f9cd4db0df36c1e59fdca1fe9806475,,-,Generic,"approve, totalSupply, transferFrom, target, mint, balanceOf, distributeRewards, timelockUntil, transfer, timelockMint, Contract Creation, __TimelockRewardDistributionToken_init, dividendOf, burnFrom, withdrawReward"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xd9f21104a0ab4bb2bc70774d4472b3c885fd022c,,SushiSwap LP Token,DEX,"approve, transferFrom, mint, transfer, burn, getReserves, token1, token0, swap, Contract Creation, initialize, permit"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xaddc3e67a500f7037cd622b11df291a6351bfb64,,-,Generic,"approve, totalSupply, transferFrom, baseToken, balanceOf, transfer, allowance, decimals, Contract Creation"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xf7a232044c586d658f826e1932c37cad770b0687,,-,Generic,"exit, addPoolForVault, withdraw, receiveRewards, timelockDepositFor, claimRewards, deposit, Contract Creation, vaultStakingInfo"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0x72012ada1d0a9e9cba22b3f13f3bc52b57ed6b66,,-,Generic,"withdraw, receiveRewards, transferOwnership, deposit, Contract Creation, childImplementation"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xfd8a76dc204e461db5da4f38687adc9cc5ae4a86,,-,Generic,"lpStaking, inventoryStaking, distribute, initializeVaultReceivers, addReceiver, setNFTXVaultFactory, changeAdmin, Contract Creation, upgradeTo"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0x73d2ff81fcea9832fc9ee90521abde1150f6b52a,,,Token,"approve, redeemTo, transferFrom, randomRedeemFee, redeem, symbol, allowance, flashLoan, Contract Creation, finalizeVault, assetAddress, mintTo, balanceOf, setManager, transfer, decimals, onERC1155BatchReceived, vaultId, deployEligibilityStorage, setVaultFeatures, swapTo, totalSupply, __NFTXVault_init, onERC721Received, targetSwapFee, mintFee, swap, onERC1155Received, disableVaultFees, randomSwapFee, mint, setVaultMetadata, setFees, transferOwnership"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0x612447e8d0bdb922059ce048bb5a7cef9e017812,,-,Generic,"vaultFees, numVaults, setFeeExclusion, disableVaultFees, feeDistributor, vault, setZapContract, setFactoryFees, zapContract, isLocked, excludedFromFees, Contract Creation, setVaultFees, createVault, upgradeChildTo, eligibilityManager, childImplementation"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xe7f4c89032a2488d327323548ab0459676269331,,Waifusion,Token,"approve, redeemTo, transferFrom, randomRedeemFee, redeem, symbol, allowance, Contract Creation, finalizeVault, assetAddress, mintTo, balanceOf, setManager, transfer, swapTo, __NFTXVault_init, onERC721Received, targetSwapFee, assignDefaultFeatures, mintFee, targetRedeemFee, saveStuckFees, randomSwapFee, mint, setFees, transferOwnership"
1,0xade227c3ad59395cf7a15ceb56085a77c61a29216858fc789d8413ef929a5fbe,https://etherscan.io/address/0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,"Router, SushiSwap",-,Generic,"removeLiquidity, swapExactTokensForETHSupportingFeeOnTransferTokens, swapTokensForExactTokens, Contract Creation, removeLiquidityWithPermit, swapTokensForExactETH, addLiquidityETH, removeLiquidityETHSupportingFeeOnTransferTokens, WETH, getAmountsIn, getAmountIn, swapExactETHForTokensSupportingFeeOnTransferTokens, swapExactETHForTokens, factory, removeLiquidityETHWithPermit, getAmountsOut, getAmountOut, swapETHForExactTokens, addLiquidity, swapExactTokensForTokensSupportingFeeOnTransferTokens, removeLiquidityETHWithPermitSupportingFeeOnTransferTokens, swapExactTokensForETH, swapExactTokensForTokens, removeLiquidityETH"
