addr1,addr2,amount
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xa2327a938febf5fec13bacfb16ae10ecbc4cbdcf,36
0xbe86f647b167567525ccaafcd6f881f1ee558216,0x612447e8d0bdb922059ce048bb5a7cef9e017812,24
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0xc6845a5c768bf8d7681249f8927877efda425baf,23
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0x030ba81f1c18d280636f32af80b9aad02cf0854e,22
0xb3c9669a5706477a2b237d98edb9b57678926f04,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,20
0xe7f4c89032a2488d327323548ab0459676269331,0xbe86f647b167567525ccaafcd6f881f1ee558216,18
0x4e977830ba4bd783c0bb7f15d3e243f73ff57121,0xa558ea1a875f8b576f0728d32c39f62158e49b92,18
0xf63b34710400cad3e044cffdcab00a0f32e33ecf,0xddde1fa049209bc24b69d5fa316a56efec918d79,17
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0xf63b34710400cad3e044cffdcab00a0f32e33ecf,17
0x030ba81f1c18d280636f32af80b9aad02cf0854e,0x541dcd3f00bcd1a683cc73e1b2a8693b602201f4,15
0xe7f4c89032a2488d327323548ab0459676269331,0x73d2ff81fcea9832fc9ee90521abde1150f6b52a,14
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0x4e977830ba4bd783c0bb7f15d3e243f73ff57121,14
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0xa50ba011c48153de246e5192c8f9258a2ba79ca9,11
0xb3c9669a5706477a2b237d98edb9b57678926f04,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,11
0xfd8a76dc204e461db5da4f38687adc9cc5ae4a86,0xe7f4c89032a2488d327323548ab0459676269331,10
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10
0x52f0feaa424fc209625f87f6c39ee1c1fa2440a9,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,10
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0x619beb58998ed2278e08620f97007e1116d5d25b,9
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,9
0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,0x83d055d382f25e6793099713505c68a5c7535a35,8
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0x046728da7cb8272284238bd3e47909823d63a58d,8
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0x4ddc2d193948926d02f9b1fe9e1daa0718270ed5,8
0x691d4172331a11912c6d0e6d1a002e3d7ced6a66,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,7
0x0de05f6447ab4d22c8827449ee4ba2d5c288379b,0x5a06e8b21c8362720f6fc5587b22c07c957718e3,7
0x3affcca64c2a6f4e3b6bd9c64cd2c969efd1ecbe,0x53360799ab5f7d622f23dc50a7bf38a8d6b233f6,7
0x52f0feaa424fc209625f87f6c39ee1c1fa2440a9,0x939daad09fc4a9b8f8a9352a485dab2df4f4b3f8,6
0x619beb58998ed2278e08620f97007e1116d5d25b,0x1f57cc62113c3a6346882dcf3ed49120411ac2d2,6
0x52f0feaa424fc209625f87f6c39ee1c1fa2440a9,0x2971adfa57b20e5a416ae5a708a8655a9c74f723,6
0x4ce076b9dd956196b814e54e1714338f18fde3f4,0xb53c1a33016b2dc2ff3653530bff1848a515c8c5,6
0x4ce076b9dd956196b814e54e1714338f18fde3f4,0x8a32f49ffba88aba6eff96f45d8bd1d4b3f35c7d,6
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0x4ce076b9dd956196b814e54e1714338f18fde3f4,6
0x030ba81f1c18d280636f32af80b9aad02cf0854e,0xd784927ff2f95ba542bfc824c8a8a98f3495f6b5,6
0x3d9819210a31b4961b30ef54be2aed79b9c9cd3b,0xbafe01ff935c7305907c33bf824352ee5979b526,5
0xe4922afab0bbadd8ab2a88e0c79d884ad337fca6,0x3b2a77058a1eb4403a90b94585fab16bc512e703,5
0x7d2768de32b0b80b7a3454c06bdac94a69ddc7a9,0xe4922afab0bbadd8ab2a88e0c79d884ad337fca6,5
0xb3c9669a5706477a2b237d98edb9b57678926f04,0xdac17f958d2ee523a2206206994597c13d831ec7,5
0x5d3a536e4d6dbd6114cc1ead35777bab948e3643,0x6b175474e89094c44da98b954eedeac495271d0f,5
